numero,pregunta,A,B,C,D,letra_correcta,texto_respuesta_correcta,bloque_bruto
184,La periodicidad de la recogida de historias clínicas por el celador será fijada por,La enfermera de guardia. Página 45 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu,El médico jefe del hospital.,El director del hospital.,El jefe del archivo central de historias clínicas. Respuesta Correcta: D,D,El jefe del archivo central de historias clínicas. Respuesta Correcta: D,"184. La periodicidad de la recogida de historias clínicas por el celador será fijada por:
A) La enfermera de guardia.
Página 45 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
B) El médico jefe del hospital.
C) El director del hospital.
D) El jefe del archivo central de historias clínicas.
Respuesta Correcta: D"
185,"De conformidad con la legislación básica sanitaria, se permite la utilización de la información contenida en la historia clínica con fines","Asistenciales, de investigación y docencia.",Asistenciales y de salud pública.,"De salud pública, epidemiológicos, investigación y docencia.",Epidemiológicos y de salud pública. Respuesta Correcta: C,C,"De salud pública, epidemiológicos, investigación y docencia.","185. De conformidad con la legislación básica sanitaria, se permite la utilización de la información contenida en la
historia clínica con fines:
A) Asistenciales, de investigación y docencia.
B) Asistenciales y de salud pública.
C) De salud pública, epidemiológicos, investigación y docencia.
D) Epidemiológicos y de salud pública.
Respuesta Correcta: C"
186,"Entre los documentos clínicos de uso hospitalario, destacan",Hoja de ingreso.,Impreso de alta voluntaria.,Graficas de constantes vitales.,Todas las respuestas anteriores son correctas. Respuesta Correcta: D,D,Todas las respuestas anteriores son correctas. Respuesta Correcta: D,"186. Entre los documentos clínicos de uso hospitalario, destacan:
A) Hoja de ingreso.
B) Impreso de alta voluntaria.
C) Graficas de constantes vitales.
D) Todas las respuestas anteriores son correctas.
Respuesta Correcta: D"
187,"Los documentos administrativos para la gestión, organización y coordinación de recursos del centro sanitario, forman parte de",Documentación clínica.,Documentación no clínica.,Documentación no sanitaria.,Documentación sanitaria. Respuesta Correcta: B,B,Documentación no clínica.,"187. Los documentos administrativos para la gestión, organización y coordinación de recursos del centro sanitario,
forman parte de:
A) Documentación clínica.
B) Documentación no clínica.
C) Documentación no sanitaria.
D) Documentación sanitaria.
Respuesta Correcta: B"
188,En un protocolo de sujeción mecánica en una unidad de hospitalización psiquiátrica el número de personas que debe intervenir para quitar la sujeción mecánica es de,2-3 personas.,3 personas mínimo. Página 46 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu,4 personas.,2 personas mínimo. Respuesta Correcta: C,C,4 personas.,"188. En un protocolo de sujeción mecánica en una unidad de hospitalización psiquiátrica el número de personas que
debe intervenir para quitar la sujeción mecánica es de:
A) 2-3 personas.
B) 3 personas mínimo.
Página 46 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
C) 4 personas.
D) 2 personas mínimo.
Respuesta Correcta: C"
189,¿Cómo se llama la dificultad para articular palabra y expresarse?,Dislexia.,Afonía.,Disfagia.,Ninguna de las respuestas anteriores es correcta. Respuesta Correcta: D,D,Ninguna de las respuestas anteriores es correcta. Respuesta Correcta: D,"189. ¿Cómo se llama la dificultad para articular palabra y expresarse?
A) Dislexia.
B) Afonía.
C) Disfagia.
D) Ninguna de las respuestas anteriores es correcta.
Respuesta Correcta: D"
190,"Un paciente hospitalizado no sabe cerrar la persiana de su habitación, ¿cómo debe actuar el celador en este caso?","Debe explicarle amablemente que no es su función y que cuando pase una enfermera, le pregunte.",Debe indicarle al paciente que llame al servicio de mantenimiento para que le explique el uso correcto.,Debe explicarle al paciente su uso y manejo.,Debe indicarle al paciente que llame al auxiliar de enfermería de la planta para que le explique su uso correcto. Respuesta Correcta: C,C,Debe explicarle al paciente su uso y manejo.,"190. Un paciente hospitalizado no sabe cerrar la persiana de su habitación, ¿cómo debe actuar el celador en este
caso?
A) Debe explicarle amablemente que no es su función y que cuando pase una enfermera, le pregunte.
B) Debe indicarle al paciente que llame al servicio de mantenimiento para que le explique el uso correcto.
C) Debe explicarle al paciente su uso y manejo.
D) Debe indicarle al paciente que llame al auxiliar de enfermería de la planta para que le explique su uso
correcto.
Respuesta Correcta: C"
191,Es INCORRECTO respecto al celador de puerta de un hospital,Controla la entrada y salida de personas.,"Permite la entrada de revistas, periódicos y libros.",Dará información general a los usuarios.,Impide la entrada de perros guía. Respuesta Correcta: D,D,Impide la entrada de perros guía. Respuesta Correcta: D,"191. Es INCORRECTO respecto al celador de puerta de un hospital:
A) Controla la entrada y salida de personas.
B) Permite la entrada de revistas, periódicos y libros.
C) Dará información general a los usuarios.
D) Impide la entrada de perros guía.
Respuesta Correcta: D"
192,"Los trastornos de personalidad, se pueden presentar como",Demencias.,Alucinaciones.,Pérdida de la realidad. Página 47 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu,Agresividad. Respuesta Correcta: D,D,Agresividad. Respuesta Correcta: D,"192. Los trastornos de personalidad, se pueden presentar como:
A) Demencias.
B) Alucinaciones.
C) Pérdida de la realidad.
Página 47 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
D) Agresividad.
Respuesta Correcta: D"
193,Dentro de la actuación ante una urgencia psiquiátrica en pacientes con riesgo suicida NO es función propia del celador,Formular denuncia ante el juzgado competente con el fin de evitar demandas familiares posteriores.,"Si el paciente precisa utilizar material de riesgo (máquinas de afeitar, etc.), permanecer a su lado mientras los use.",Controles frecuentes durante la noche.,Conocer la deambulación (situación) del paciente en cada momento. Respuesta Correcta: A,A,Formular denuncia ante el juzgado competente con el fin de evitar demandas familiares posteriores.,"193. Dentro de la actuación ante una urgencia psiquiátrica en pacientes con riesgo suicida NO es función propia del
celador:
A) Formular denuncia ante el juzgado competente con el fin de evitar demandas familiares posteriores.
B) Si el paciente precisa utilizar material de riesgo (máquinas de afeitar, etc.), permanecer a su lado mientras
los use.
C) Controles frecuentes durante la noche.
D) Conocer la deambulación (situación) del paciente en cada momento.
Respuesta Correcta: A"
194,El síntoma más precoz en la enfermedad de Alzheimer es,Temblores.,Desorientación.,Pérdida de la memoria.,Alteraciones del equilibrio. Respuesta Correcta: C,C,Pérdida de la memoria.,"194. El síntoma más precoz en la enfermedad de Alzheimer es:
A) Temblores.
B) Desorientación.
C) Pérdida de la memoria.
D) Alteraciones del equilibrio.
Respuesta Correcta: C"
195,"Un paciente oye voces que le incitan al suicidio, sufre",Trastorno conductual.,Alucinación.,Déficit cognitivo.,Desviación psicosexual. Respuesta Correcta: B,B,Alucinación.,"195. Un paciente oye voces que le incitan al suicidio, sufre:
A) Trastorno conductual.
B) Alucinación.
C) Déficit cognitivo.
D) Desviación psicosexual.
Respuesta Correcta: B"
196,"Un paciente es ingresado contra su voluntad y por requerimiento judicial, su hospitalización es",Voluntaria.,Involuntaria.,Forzosa.,Ilegal. Página 48 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu             Respuesta Correcta: C,C,Forzosa.,"196. Un paciente es ingresado contra su voluntad y por requerimiento judicial, su hospitalización es:
A) Voluntaria.
B) Involuntaria.
C) Forzosa.
D) Ilegal.
Página 48 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
Respuesta Correcta: C"
197,NO es norma obligada en la sujeción terapéutica del paciente psiquiátrico,Comprobar periódicamente las sujeciones por la seguridad y la comodidad del paciente.,"La sujeción mecánica debe continuar el menor tiempo posible, a medida que el paciente se va tranquilizando se deben ir retirando sujeciones.",Todas las sujeciones terapéuticas han de reflejarse en el correspondiente parte judicial.,"La sujeción debe permitir administrar perfusión endovenosa por el antebrazo, así como recibir líquidos y alimentos. Respuesta Correcta: C",C,Todas las sujeciones terapéuticas han de reflejarse en el correspondiente parte judicial.,"197. NO es norma obligada en la sujeción terapéutica del paciente psiquiátrico:
A) Comprobar periódicamente las sujeciones por la seguridad y la comodidad del paciente.
B) La sujeción mecánica debe continuar el menor tiempo posible, a medida que el paciente se va tranquilizando
se deben ir retirando sujeciones.
C) Todas las sujeciones terapéuticas han de reflejarse en el correspondiente parte judicial.
D) La sujeción debe permitir administrar perfusión endovenosa por el antebrazo, así como recibir líquidos y
alimentos.
Respuesta Correcta: C"
198,La dificultad para la articulación de palabras se define como,Deambular.,Disartria.,Afasia.,Ecolalia. Respuesta Correcta: B,B,Disartria.,"198. La dificultad para la articulación de palabras se define como:
A) Deambular.
B) Disartria.
C) Afasia.
D) Ecolalia.
Respuesta Correcta: B"
199,"En la unidad de psiquiatría del hospital un paciente empieza a actuar de forma muy violenta, ¿quién tendría que realizar las maniobras de contención mecánica?",Exclusivamente el celador de la unidad.,"La implicación en la actuación de reducir al paciente debe ser de todo el personal, independientemente del estamento profesional.",El personal sanitario.,El personal de seguridad. Respuesta Correcta: B,B,"La implicación en la actuación de reducir al paciente debe ser de todo el personal, independientemente del estamento profesional.","199. En la unidad de psiquiatría del hospital un paciente empieza a actuar de forma muy violenta, ¿quién tendría que
realizar las maniobras de contención mecánica?
A) Exclusivamente el celador de la unidad.
B) La implicación en la actuación de reducir al paciente debe ser de todo el personal, independientemente del
estamento profesional.
C) El personal sanitario.
D) El personal de seguridad.
Respuesta Correcta: B"
200,"En relación a la sujeción e inmovilización en un paciente agitado, ¿qué es una sujeción completa?",Inmovilización del tronco y dos extremidades.,Inmovilización del tronco y las cuatro extremidades.,Inmovilización con chaleco.,Inmovilización con cinturón pélvico. Página 49 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu             Respuesta Correcta: B,B,Inmovilización del tronco y las cuatro extremidades.,"200. En relación a la sujeción e inmovilización en un paciente agitado, ¿qué es una sujeción completa?
A) Inmovilización del tronco y dos extremidades.
B) Inmovilización del tronco y las cuatro extremidades.
C) Inmovilización con chaleco.
D) Inmovilización con cinturón pélvico.
Página 49 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
Respuesta Correcta: B"
